type,subject,topic,difficulty,question,options,correctanswer,marks,explanation
MCQ,Physics,Fundamental Quantities and Units,Easy,"Which physical quantity has the unit second (s)?","Time|Length|Frequency|Velocity",0,1,"Second is the base SI unit of time."
MCQ,Physics,Fundamental Quantities and Units,Medium,"If a physical quantity has no units, it is called a:","Fundamental quantity|Derived quantity|Dimensionless quantity|Vector quantity",2,2,"Quantities without units or dimensions (like refractive index or strain) are dimensionless."
MCQ,Physics,Fundamental Quantities and Units,Easy,"Which instrument is primarily used to measure mass?","Spring balance|Beam balance/Electronic scale|Thermometer|Barometer",1,2,"A beam balance or electronic scale measures mass by comparing against known weights."
MCQ,Physics,Fundamental Quantities and Units,Medium,"What is the dimensional formula for Time?","[M^0 L^0 T^1]|[M^1 L^0 T^0]|[M^0 L^1 T^0]|[M^1 L^1 T^1]",0,2,"Time depends only on [T], hence [M^0 L^0 T^1]."
MCQ,Physics,Fundamental Quantities and Units,Hard,"The precision of a measurement depends primarily on:","The least count of the measuring instrument|The size of the object being measured|The fundamental SI unit chosen|The temperature of the room",0,3,"The least count is the smallest measurement an instrument can reliably make, determining precision."
MCQ,Physics,Fundamental Quantities and Units,Medium,"Which of the following represents a scalar fundamental quantity?","Displacement|Mass|Force|Velocity",1,2,"Mass is both a fundamental SI quantity and a scalar (having magnitude only without direction)."
MCQ,Physics,Fundamental Quantities and Units,Medium,"Why is electric current chosen as a base unit rather than electric charge?","Charge is easier to measure|Current can be measured more directly and accurately using magnetic effects|Current is a vector|Charge has no dimensions",1,3,"Electric current (A) can be measured with extreme precision via magnetic forces, making it ideal as a base standard."
MCQ,Physics,Fundamental Quantities and Units,Easy,"How many centimeters are in 1 SI meter?","10|100|1000|10000",1,1,"Cent- means one-hundredth, so 1 m = 100 cm."
MCQ,Physics,Fundamental Quantities and Units,Easy,"Which of these is the correct symbol for kilogram?","KG|Kg|kg|kG",2,1,"The official SI symbol for kilogram is lowercase 'kg'."
MCQ,Physics,Fundamental Quantities and Units,Medium,"Which fundamental unit is defined using the transitions between two hyperfine levels of the caesium-133 atom?","Meter|Second|Kelvin|Ampere",1,3,"The second is defined by 9,192,631,770 periods of radiation from caesium-133."
MCQ,Physics,Fundamental Quantities and Units,Easy,"Can a physical quantity have units but no dimensions?","No never|Yes (e.g. angle in radians)|Yes (e.g. mass in kg)|Only if it is a vector",1,3,"Plane angle (radians) and solid angle (steradians) have units but are dimensionless ratios of lengths ([L^0])."
MCQ,Physics,Fundamental Quantities and Units,Medium,"Can a physical quantity have dimensions but no units?","Yes|No, if it has dimensions it must have units to express magnitude|Only in thermodynamics|Only at absolute zero",1,3,"A dimensional quantity must have corresponding units to quantify its value."
MCQ,Physics,Fundamental Quantities and Units,Medium,"What is the relationship between 1 liter (L) and cubic meters (m^3)?","1 L = 1 m^3|1 L = 10^-3 m^3|1 L = 10^3 m^3|1 L = 10^-6 m^3",1,3,"1 Liter = 1 cubic decimeter = 10^-3 m^3."
MCQ,Physics,Fundamental Quantities and Units,Easy,"Which prefix means 10^3 (one thousand)?","Milli|Mega|Kilo|Hecto",2,1,"Kilo (k) represents 10^3."
MCQ,Physics,Derived Quantities and Derivation,Easy,"What is the derived SI unit of Area?","m|m^2|m^3|kg m",1,1,"Area = length x width, so its unit is m x m = m^2."
MCQ,Physics,Derived Quantities and Derivation,Easy,"What is the derived SI unit of Volume?","m^2|m^3|L/s|kg/m^3",1,1,"Volume is length x width x height, yielding m^3."
MCQ,Physics,Derived Quantities and Derivation,Medium,"How is Density defined and what is its SI unit?","Mass per unit volume (kg/m^3)|Volume per unit mass (m^3/kg)|Force per unit area (N/m^2)|Mass x Velocity (kg m/s)",0,2,"Density = Mass / Volume, giving the SI derived unit kg/m^3."
MCQ,Physics,Derived Quantities and Derivation,Medium,"What is the dimensional formula for Density?","[M L^-3 T^0]|[M L^3 T^0]|[M^-1 L^3 T^0]|[M L^-2 T^-2]",0,2,"Density = Mass / Volume = [M] / [L^3] = [M L^-3 T^0]."
MCQ,Physics,Derived Quantities and Derivation,Medium,"Derive the unit of Speed from base quantities:","m/s (or m s^-1)|kg/s|m^2/s|N/m",0,2,"Speed = Distance / Time = meter / second = m s^-1."
MCQ,Physics,Derived Quantities and Derivation,Medium,"What is the dimensional formula for Acceleration?","[L T^-1]|[L T^-2]|[M L T^-2]|[L^2 T^-2]",1,2,"Acceleration is change in velocity over time: [L T^-1] / [T] = [L T^-2]."
MCQ,Physics,Derived Quantities and Derivation,Medium,"According to Newton's second law (F = ma), what is the base SI unit breakdown of 1 Newton (N)?","kg m s^-1|kg m s^-2|kg m^2 s^-2|kg^2 m s^-2",1,3,"Force = mass (kg) x acceleration (m s^-2) = kg m s^-2."
MCQ,Physics,Derived Quantities and Derivation,Medium,"What is the dimensional formula for Force?","[M L T^-1]|[M L T^-2]|[M L^2 T^-2]|[M^2 L T^-2]",1,2,"Force = m * a = [M] * [L T^-2] = [M L T^-2]."
MCQ,Physics,Derived Quantities and Derivation,Hard,"Derive the dimensional formula for Pressure (Force / Area):","[M L T^-2]|[M L^-1 T^-2]|[M L^2 T^-2]|[M L^-2 T^-2]",1,3,"Pressure = Force / Area = [M L T^-2] / [L^2] = [M L^-1 T^-2]."
MCQ,Physics,Derived Quantities and Derivation,Medium,"What is the SI name and symbol for the unit of Pressure?","Newton (N)|Joule (J)|Pascal (Pa)|Watt (W)",2,2,"Pressure (1 N/m^2) is named the Pascal (Pa)."
MCQ,Physics,Derived Quantities and Derivation,Medium,"How is Work (or Energy) defined in terms of Force and Displacement?","Work = Force / Displacement|Work = Force x Displacement (F * s)|Work = Force x Time|Work = Mass x Acceleration",1,2,"Work done = Force x Displacement in the direction of force."
MCQ,Physics,Derived Quantities and Derivation,Hard,"What is the dimensional formula for Work and Energy?","[M L T^-2]|[M L^2 T^-2]|[M L^2 T^-3]|[M L^-1 T^-2]",1,3,"Work = Force x Distance = [M L T^-2] * [L] = [M L^2 T^-2]."
MCQ,Physics,Derived Quantities and Derivation,Medium,"What is the SI unit of Work and Energy?","Watt|Pascal|Joule (J)|Newton",2,2,"The derived unit of energy and work is the Joule (J = kg m^2 s^-2)."
MCQ,Physics,Derived Quantities and Derivation,Hard,"Derive the unit and dimension of Power (Work done / Time taken):","Joule (J) and [M L^2 T^-2]|Watt (W) and [M L^2 T^-3]|Newton (N) and [M L T^-2]|Volt (V) and [M L^2 T^-3 A^-1]",1,3,"Power = Work / Time = [M L^2 T^-2] / [T] = [M L^2 T^-3], measured in Watts (W)."
MCQ,Physics,Derived Quantities and Derivation,Medium,"What is the dimensional formula for Linear Momentum (Mass x Velocity)?","[M L T^-1]|[M L T^-2]|[M L^2 T^-1]|[M^2 L T^-1]",0,2,"Momentum = p = m * v = [M] * [L T^-1] = [M L T^-1]."
MCQ,Physics,Derived Quantities and Derivation,Hard,"Show that Impulse (Force x Time) has the exact same dimensions as:","Energy|Linear Momentum|Power|Acceleration",1,3,"Impulse = Force * Time = [M L T^-2] * [T] = [M L T^-1], which exactly equals the dimensions of Momentum."
MCQ,Physics,Derived Quantities and Derivation,Medium,"Derive the unit of Electric Charge (Q = I * t) in terms of SI base units:","Ampere-second (A s or Coulomb)|Kilogram-meter|Volt-second|Ohm-meter",0,2,"Charge = Current (Ampere) x Time (second) = A s, known as the Coulomb (C)."
MCQ,Physics,Derived Quantities and Derivation,Hard,"What is the dimensional formula for Electric Charge?","[A T]|[M L^2 T^-3 A^-1]|[A L]|[T^2 A]",0,2,"Since I = Q / t, Q = I * t = [I T] or [A T]."
MCQ,Physics,Derived Quantities and Derivation,Hard,"Derive the SI base units of Electric Potential Difference (Voltage V = Work / Charge):","kg m^2 s^-3 A^-1|kg m s^-2 A^-1|kg m^2 s^-2|A s",0,4,"Voltage = Work / Charge = [M L^2 T^-2] / [A T] = [M L^2 T^-3 A^-1] = kg m^2 s^-3 A^-1."
MCQ,Physics,Derived Quantities and Derivation,Hard,"Using Ohm's Law (R = V / I), what is the dimensional formula of Electrical Resistance?","[M L^2 T^-3 A^-2]|[M L^2 T^-2 A^-1]|[M L T^-3 A^-2]|[M^-1 L^-2 T^4 A^2]",0,4,"Resistance = V / I = [M L^2 T^-3 A^-1] / [A] = [M L^2 T^-3 A^-2]."
MCQ,Physics,Derived Quantities and Derivation,Hard,"What is the SI derived unit of Electrical Resistance called?","Farad (F)|Henry (H)|Ohm (Ω)|Siemens (S)",2,2,"The SI unit of electrical resistance is the Ohm (Ω)."
MCQ,Physics,Derived Quantities and Derivation,Medium,"Frequency is the number of cycles per unit time. What is its SI derived unit?","Hertz (Hz or s^-1)|Joule|Meter per second|Radian per second",0,2,"Frequency = 1 / Period, yielding s^-1 or Hertz (Hz)."
MCQ,Physics,Derived Quantities and Derivation,Hard,"Derive the dimensional formula for Gravitational Constant G from F = G m1 m2 / r^2:","[M^-1 L^3 T^-2]|[M L^3 T^-2]|[M^-1 L^2 T^-2]|[M^-2 L^3 T^-1]",0,4,"G = F r^2 / (m1 m2) = [M L T^-2] [L^2] / [M^2] = [M^-1 L^3 T^-2]."
MCQ,Physics,Derived Quantities and Derivation,Hard,"What is the SI unit of the Universal Gravitational Constant G?","N m^2 kg^-2|N kg m|kg m^3 s^-2|J m kg^-1",0,3,"From G = F r^2 / m^2, the unit is N m^2 kg^-2."
MCQ,Physics,Derived Quantities and Derivation,Medium,"What is the dimensional formula for Surface Tension (Force per unit length)?","[M L^0 T^-2]|[M L T^-2]|[M L^-1 T^-2]|[M^0 L T^-2]",0,3,"Surface Tension = Force / Length = [M L T^-2] / [L] = [M T^-2] or [M L^0 T^-2]."
MCQ,Physics,Derived Quantities and Derivation,Hard,"Derive the unit of Dynamic Viscosity from F = η A (dv/dy):","kg m^-1 s^-1 (or Pa s)|kg m s^-2|N m^2|kg m^2 s^-1",0,4,"η = F / [A (dv/dy)] = N / [m^2 (m/s / m)] = N s m^-2 = Pa s = kg m^-1 s^-1."
MCQ,Physics,Derived Quantities and Derivation,Medium,"What is the dimensional homogeneity principle in physics?","Every valid physical equation must have the exact same dimensions on both left and right sides|All quantities must be measured in meters|Only fundamental quantities can be equated|Vectors and scalars can have equal dimensions",0,3,"The Principle of Dimensional Homogeneity states that terms added, subtracted, or equated must have identical dimensions."
MCQ,Physics,Derived Quantities and Derivation,Hard,"If equation v = a + bt is dimensionally correct where v is velocity and t is time, what are the dimensions of constant b?","[L T^-2]|[L T^-1]|[L]| [T^-1]",0,3,"By homogeneity, dimension of bt must equal [v] = [L T^-1]. Thus [b] [T] = [L T^-1] => [b] = [L T^-2] (acceleration)."
MCQ,Physics,Derived Quantities and Derivation,Hard,"Can dimensional analysis determine dimensionless numerical constants like 2 or π in an equation?","Yes easily|No, dimensional analysis gives no information about pure numbers/constants|Only if the equation is quadratic|Only for trigonometric equations",1,3,"Dimensional analysis cannot determine dimensionless numerical prefactors like 1/2 or 2π."
MCQ,Physics,Derived Quantities and Derivation,Hard,"What is the dimensional formula for Angular Velocity (ω = θ / t)?","[T^-1] or [M^0 L^0 T^-1]|[L T^-1]|[M L T^-1]|[L^2 T^-1]",0,2,"Angle θ is dimensionless ([L^0]), so ω = θ / t has dimension [T^-1]."
MCQ,Physics,Derived Quantities and Derivation,Hard,"Derive the dimension of Angular Momentum (L = r x p = m v r):","[M L^2 T^-1]|[M L T^-1]|[M L^2 T^-2]|[M^2 L T^-1]",0,3,"L = m * v * r = [M] * [L T^-1] * [L] = [M L^2 T^-1]."
MCQ,Physics,Derived Quantities and Derivation,Hard,"What is the SI unit of Capacitance (C = Q / V)?","Farad (F)|Coulomb (C)|Henry (H)|Tesla (T)",0,2,"Capacitance is measured in Farads (F = Coulomb / Volt)."
MCQ,Physics,Derived Quantities and Derivation,Hard,"What is the dimensional formula for Magnetic Flux Density / Magnetic Field (B = F / I L)?","[M T^-2 A^-1]|[M L T^-2 A^-1]|[M L^2 T^-2 A^-1]|[M T^-1 A^-1]",0,4,"From F = I L B, B = F / (I L) = [M L T^-2] / ([A] [L]) = [M T^-2 A^-1] (Tesla)."
MCQ,Physics,Derived Quantities and Derivation,Medium,"Which derived quantity is measured in Kilowatt-hour (kWh)?","Energy / Electrical Work|Power|Force|Electric Charge",0,3,"Kilowatt-hour is power x time = Energy (1 kWh = 3.6 x 10^6 J)."
MCQ,Physics,Derived Quantities and Derivation,Medium,"What is the SI unit of Specific Heat Capacity (c = Q / (m ΔT))?","J kg^-1 K^-1|J kg K|J m^-1 K^-1|W kg^-1 K^-1",0,3,"Heat (J) divided by mass (kg) and temperature change (K) gives J kg^-1 K^-1."
MCQ,Physics,Motion,Easy,"An object is said to be in motion if:","Its position changes with respect to a stationary reference point over time|It has a high temperature|It is at rest relative to all observers|Its mass increases",0,1,"Motion is defined as the continuous change in position of a body relative to a reference frame over time."
MCQ,Physics,Motion,Easy,"Which of the following is the difference between Distance and Displacement?","Distance is the total path length traveled (scalar), while Displacement is the shortest straight-line distance from start to end (vector)|Distance is a vector while Displacement is scalar|They are exact synonyms|Displacement is always greater than Distance",0,2,"Distance depends on path taken (scalar), whereas Displacement is the straight-line vector from origin to destination."
MCQ,Physics,Motion,Medium,"If an athlete runs once around a circular track of radius R and returns to the starting point, what is the displacement?","0|2πR|πR|R^2",0,2,"Since the initial and final positions are identical, the displacement is zero (while distance is 2πR)."
MCQ,Physics,Motion,Easy,"What is the definition of Speed?","Rate of change of distance traveled over time (scalar)|Rate of change of displacement (vector)|Product of mass and velocity|Acceleration multiplied by time",0,1,"Speed = total distance traveled divided by total time elapsed."
MCQ,Physics,Motion,Medium,"How does Velocity differ from Speed?","Velocity includes both magnitude and specific direction of motion (vector), while Speed has magnitude only|Velocity is always smaller than Speed|Speed requires acceleration while Velocity does not|Velocity is measured in m^2/s",0,2,"Velocity is displacement per unit time, making it a vector quantity with magnitude and direction."
MCQ,Physics,Motion,Easy,"If a car travels 150 meters in 10 seconds at constant speed, what is its speed?","15 m/s|1500 m/s|1.5 m/s|25 m/s",0,1,"Speed = Distance / Time = 150 m / 10 s = 15 m/s."
MCQ,Physics,Motion,Medium,"How do you convert a speed from km/h to m/s?","Multiply by 5/18|Multiply by 18/5|Multiply by 1000|Divide by 60",0,2,"1 km/h = 1000 m / 3600 s = 5/18 m/s."
MCQ,Physics,Motion,Easy,"Convert 72 km/h into SI unit (m/s):","20 m/s|15 m/s|25 m/s|30 m/s",0,2,"72 x (5/18) = 4 x 5 = 20 m/s."
MCQ,Physics,Motion,Medium,"When is an object moving with Uniform Velocity?","When it travels equal displacements in equal intervals of time along a straight line without changing direction|When its speed increases constantly|When it moves in a circle at constant speed|When acceleration is 10 m/s^2",0,2,"Uniform velocity requires both constant speed and constant straight-line direction (zero acceleration)."
MCQ,Physics,Motion,Medium,"What is Instantaneous Velocity?","The velocity of an object at one specific instant of time (dx/dt)|The average velocity over a 1-hour trip|Total distance divided by total time|The maximum velocity reached",0,2,"Instantaneous velocity is the time derivative of position dx/dt at a precise instant."
MCQ,Physics,Motion,Medium,"How is Average Velocity calculated for non-uniform motion?","Total Displacement divided by Total Time elapsed|Total Distance divided by Total Time|Initial velocity plus final velocity|Speed multiplied by time",0,2,"Average Velocity = Total Vector Displacement / Total Time."
MCQ,Physics,Motion,Easy,"What is Acceleration?","The rate of change of velocity with respect to time (dv/dt)|The rate of change of distance|The force applied per kg|Speed squared divided by radius",0,1,"Acceleration is how fast velocity changes per unit time, measured in m/s^2."
MCQ,Physics,Motion,Medium,"If a car accelerates uniformly from rest (u = 0) to 20 m/s in 5 seconds, what is its acceleration?","4 m/s^2|100 m/s^2|0.25 m/s^2|5 m/s^2",0,2,"a = (v - u) / t = (20 - 0) / 5 = 4 m/s^2."
MCQ,Physics,Motion,Medium,"What does negative acceleration (deceleration or retardation) indicate?","The velocity of the object is decreasing over time (or directed opposite to motion)|The object is moving backwards|The mass is decreasing|The object has stopped",0,2,"Retardation/deceleration means velocity is reducing over time."
MCQ,Physics,Motion,Medium,"Which kinematic equation relates initial velocity u, final velocity v, uniform acceleration a, and time t?","v = u + at|s = ut + 0.5at^2|v^2 = u^2 + 2as|v = (u + a)/t",0,2,"The first equation of uniformly accelerated motion is v = u + at."
MCQ,Physics,Motion,Hard,"Which kinematic equation gives displacement s when time t, initial velocity u, and acceleration a are known?","s = ut + 1/2 a t^2|v^2 = u^2 + 2as|s = (v - u) / a|s = v t + 1/2 a t^2",0,3,"The second equation of motion is s = ut + 0.5 a t^2."
MCQ,Physics,Motion,Hard,"Which equation of motion is used when time t is NOT given, connecting velocities v and u, acceleration a, and displacement s?","v^2 = u^2 + 2as|v = u + at|s = ut + 1/2 at^2|v = sqrt(2as / t)",0,3,"The third equation of motion eliminating time is v^2 = u^2 + 2as."
MCQ,Physics,Motion,Hard,"A train moving at 30 m/s applies brakes causing a uniform deceleration of 3 m/s^2. How much time does it take to come to rest?","10 s|5 s|15 s|90 s",0,3,"Using v = u + at: 0 = 30 + (-3)t => 3t = 30 => t = 10 s."
MCQ,Physics,Motion,Hard,"A ball is dropped from rest (u = 0) from the top of a tower. If acceleration due to gravity g = 10 m/s^2, how far does it fall in 3 seconds?","45 m|30 m|15 m|90 m",0,3,"Using s = ut + 0.5 g t^2: s = 0 + 0.5(10)(3^2) = 5 * 9 = 45 meters."
MCQ,Physics,Motion,Hard,"An object is thrown vertically upward with an initial velocity of 40 m/s. Taking g = 10 m/s^2, what is the maximum height reached?","80 m|40 m|160 m|100 m",0,4,"At max height v = 0. Using v^2 = u^2 - 2gh: 0 = 40^2 - 2(10)h => 20h = 1600 => h = 80 meters."
MCQ,Physics,Motion,Medium,"On a Displacement-Time graph, what does the slope (gradient) of the curve represent?","Velocity|Acceleration|Force|Total Distance",0,2,"Slope of displacement vs time = ds/dt = Velocity."
MCQ,Physics,Motion,Medium,"On a Velocity-Time graph, what does the slope of the line represent?","Acceleration|Displacement|Speed|Momentum",0,2,"Slope of velocity vs time = dv/dt = Acceleration."
MCQ,Physics,Motion,Hard,"On a Velocity-Time graph, what does the area under the curve represent?","Total Displacement (or Distance traveled)|Average Acceleration|Instantaneous Force|Power expended",0,3,"Area under v-t curve = ∫ v dt = Displacement."
MCQ,Physics,Motion,Medium,"If the Velocity-Time graph of a moving object is a straight line parallel to the time axis, what can be said about its acceleration?","Acceleration is zero (object moves at constant velocity)|Acceleration is increasing uniformly|Acceleration is 9.8 m/s^2|The object is at rest",0,2,"If velocity is constant over time, the slope (acceleration) is zero."
MCQ,Physics,Motion,Medium,"What is free fall motion?","Motion of a body falling solely under the influence of gravitational acceleration g with negligible air resistance|Falling while attached to a parachute|Moving horizontally at constant speed|Motion in outer space with zero gravity",0,2,"Free fall is motion downward accelerated only by Earth's gravity."
MCQ,Physics,Motion,Hard,"In the absence of air resistance, if a heavy iron ball and a light feather are dropped simultaneously from the same height:","Both will hit the ground at the exact same time with the same acceleration g|The iron ball will hit first due to greater mass|The feather will hit first|Neither accelerates",0,3,"Galileo showed that all bodies in free fall accelerate at g regardless of their mass."
MCQ,Physics,Motion,Medium,"What is the approximate standard value of acceleration due to gravity g near the Earth's surface?","9.8 m/s^2|1.6 m/s^2|15 m/s^2|98 cm/s^2",0,1,"Near Earth's surface, g ≈ 9.8 m/s^2 (or approximately 10 m/s^2 for simplified calculation)."
MCQ,Physics,Motion,Medium,"In two-dimensional Projectile Motion, what is the vertical acceleration of the projectile during flight (ignoring air resistance)?","Constant downward acceleration g (≈ 9.8 m/s^2)|Zero vertical acceleration|Increasing horizontal acceleration|Depends on the projectile mass",0,2,"The vertical component experiences uniform gravitational acceleration g downwards."
MCQ,Physics,Motion,Hard,"In Projectile Motion, what happens to the horizontal component of velocity (vx) throughout the flight in vacuum?","It remains strictly constant because there is no horizontal force or acceleration|It decreases to zero at peak height|It increases steadily|It equals the vertical velocity",0,3,"Since ax = 0, horizontal velocity vx remains invariant from launch to impact."
MCQ,Physics,Motion,Hard,"At what launch angle θ above the horizontal does a projectile achieve its maximum horizontal range R (on level ground)?","45 degrees|30 degrees|60 degrees|90 degrees",0,3,"Range R = (u^2 sin 2θ)/g is maximized when sin 2θ = 1, which occurs at θ = 45°."
MCQ,Physics,Motion,Hard,"In Uniform Circular Motion where a body moves in a circle at constant speed v, is there acceleration?","Yes, there is a Centripetal Acceleration directed radially inward toward the center|No, because speed v is constant|Only when speed increases|Yes, directed tangentially outward",0,3,"Even though speed is constant, the velocity vector continuously changes direction, producing centripetal acceleration a = v^2 / r directed inward."
MCQ,Physics,Motion,Hard,"What formula gives the Centripetal Acceleration ac of an object moving at speed v along a circle of radius r?","ac = v^2 / r|ac = v * r|ac = v / r^2|ac = 0.5 * v * r^2",0,3,"Centripetal acceleration equals linear speed squared divided by radius (v^2/r or ω^2 r)."
MCQ,Physics,Motion,Easy,"State Newton's First Law of Motion (Law of Inertia):","An object at rest stays at rest, and an object in motion continues moving at uniform velocity in a straight line, unless acted upon by a net external force|Force equals mass times acceleration|For every action there is an equal and opposite reaction|Gravity attracts all masses uniformly",0,2,"Newton's first law defines inertia: bodies maintain their state of rest or uniform motion unless disturbed by external forces."
MCQ,Physics,Motion,Medium,"According to Newton's Second Law of Motion, what is the rate of change of linear momentum directly proportional to?","The net external force applied to the body|The kinetic energy of the body|The radius of motion|The mass squared",0,2,"Newton's second law states F_net = dp/dt = d(mv)/dt = m a."
MCQ,Physics,Motion,Easy,"State Newton's Third Law of Motion:","To every action force, there is an equal and opposite reaction force acting on two different bodies|Force is proportional to acceleration|Objects fall at 9.8 m/s^2|Momentum is lost in collisions",0,2,"Action and reaction pairs are equal in magnitude, opposite in direction, and act on mutually interacting objects."
MCQ,Physics,Motion,Hard,"A car traveling at 20 m/s accelerates uniformly at 2 m/s^2 for 6 seconds. What is the total distance traveled during this 6-second interval?","156 m|120 m|36 m|240 m",0,4,"Using s = ut + 0.5 a t^2: s = (20)(6) + 0.5(2)(6^2) = 120 + 36 = 156 meters."
